,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB,Category
145, Queen of Tears , (2024) ,"Drama, Comedy",Netflix,https://www.justwatch.com/in/tv-show/queen-of-tears,1h 28min,,South Korea,,tv
146, Kaiju No. 8 , (2024) ,"Fantasy, Horror, Science-Fiction, Animation, Action & Adventure",Crunchyroll,https://www.justwatch.com/in/tv-show/kaiju-no-8,24min,,Japan, 8.4  (3k) ,tv
147, Doctor Who , (2005) ,"Action & Adventure, Drama, Science-Fiction",Amazon Prime Video,https://www.justwatch.com/in/tv-show/doctor-who,50min,,United Kingdom, 8.6  (248k) ,tv
148, Kota Factory , (2019) ,"Comedy, Drama",Netflix,https://www.justwatch.com/in/tv-show/kota-factory,39min,,India, 9.0  (81k) ,tv
149, Yellowstone , (2018) ,"Drama, Western",Netflix,https://www.justwatch.com/in/tv-show/yellowstone,50min,,United States, 8.7  (225k) ,tv
150, Interview with the Vampire , (2022) ,"Drama, Fantasy, Horror",Amazon Prime Video,https://www.justwatch.com/in/tv-show/interview-with-the-vampire,49min,,United States, 7.2  (23k) ,tv
151, Resident Alien , (2021) ,"Science-Fiction, Comedy, Drama",Jio Cinema,https://www.justwatch.com/in/tv-show/resident-alien,44min,,United States, 8.1  (63k) ,tv
152, Toughest Forces on Earth , (2024) ,Documentary,Netflix,https://www.justwatch.com/in/tv-show/toughest-forces-on-earth,41min,,United Kingdom, 6.0  ,tv
153, Dil Dosti Dilemma , (2024) ,"Drama, Comedy",Amazon Prime Video,https://www.justwatch.com/in/tv-show/dil-dosti-dilemma,40min,,India, 6.6  ,tv
154, Solo Leveling , (2024) ,"Fantasy, Animation, Action & Adventure, Science-Fiction",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024,24min,,"Japan, South Korea", 8.3  (24k) ,tv
